rep,stress,breadth,unit_share,unit_acceptance,total_completion
5,0.3,1.0,0.25013187111030644,0.564814843271223,0.8711163642711865
5,0.5,0.4,0.15852771792704345,0.24740387110120687,0.6173399128189828
5,0.5,0.6,0.2604503276454218,0.3805315166972014,0.6744320638234759
5,0.5,0.8,0.3499605906077515,0.5357518133466886,0.8067035114496053
5,0.5,1.0,0.41775459977479684,0.7197618670101343,0.8680092413069215
5,0.7,0.4,0.280773770685273,0.34527201868505203,0.5450123091675521
5,0.7,0.6,0.49256542263061187,0.4940430584241425,0.6011416650509251
5,0.7,0.8,0.5267978868519824,0.6527175836314719,0.8403423609562981
5,0.7,1.0,0.6659343713333614,0.8067806099759381,0.874500383292947
5,0.9,0.4,0.5479365808214656,0.4269649484886898,0.45857145200605787
5,0.9,0.6,0.7502771539536286,0.5691122675464432,0.582616798631958
5,0.9,0.8,0.6881455936692072,0.7177354313242434,0.7572491528973021
5,0.9,1.0,0.7556521407415184,0.8609603668672808,0.9081207554239068
6,0.1,0.4,0.01851025464333941,0.07887014142857386,0.890873678093026
6,0.1,0.6,0.04296020122086172,0.14310831742255267,0.8624892473118894
6,0.1,0.8,0.04030101463836009,0.2502569340938429,0.930577598222972
6,0.1,1.0,0.08869397397523641,0.3942185207178115,0.9577302121798026
6,0.3,0.4,0.07901965233185024,0.14287747017155678,0.6226591787053103
6,0.3,0.6,0.11950821255218609,0.25429450389207153,0.7306046247372211
6,0.3,0.8,0.20064961358420533,0.40258850488718717,0.8324381764228358
6,0.3,1.0,0.22622933258972314,0.5769321976320649,0.9240125338885279
6,0.5,0.4,0.20671637124017522,0.23985194259330136,0.6160924121055339
6,0.5,0.6,0.23855671058994826,0.3779443334952927,0.7377267713323904
6,0.5,0.8,0.3449326270701148,0.5452828556766562,0.782736421621768
6,0.5,1.0,0.42043543634295394,0.7152594917934693,0.8737662208045232
6,0.7,0.4,0.38640743712761927,0.3505060817811982,0.5460843895645882
6,0.7,0.6,0.4310619797571389,0.4882303806496589,0.6520869305785113
6,0.7,0.8,0.5555051874393944,0.6515057340937964,0.7232234342324833
6,0.7,1.0,0.6225288185691985,0.8128844684368776,0.9111219282398724
6,0.9,0.4,0.5727053340485964,0.4201424641789349,0.45805445202449785
6,0.9,0.6,0.7095321276881426,0.5745685171780462,0.6114934333555357
6,0.9,0.8,0.7584636270688673,0.7147652276907924,0.7629219443163069
6,0.9,1.0,0.7772973916629209,0.8589221443070875,0.9481425434647187
7,0.1,0.4,0.019910441625386233,0.08135663284079775,0.8571011312719545
7,0.1,0.6,0.039722193783526295,0.14293023356939108,0.8753161007245002
7,0.1,0.8,0.05644691380209206,0.23700645181923,0.851658946100223
7,0.1,1.0,0.08731523337142158,0.37857105758525694,0.9005751872368445
7,0.3,0.4,0.07615375908763566,0.15673745411782067,0.724446080773959
7,0.3,0.6,0.11474735987066814,0.25731310504447924,0.789097700130109
7,0.3,0.8,0.20324350315941173,0.3905577030238961,0.7923426400246653
7,0.3,1.0,0.23263608089968654,0.5513536708289021,0.9003479168067854
7,0.5,0.4,0.18997965507225645,0.247004935464347,0.5295437456287643
7,0.5,0.6,0.24749809260267058,0.38408097281816717,0.7715697750488864
7,0.5,0.8,0.3186938924113568,0.5388546281375142,0.7614157531048211
7,0.5,1.0,0.4267734713919498,0.7168490345896626,0.9060542465330286
7,0.7,0.4,0.3617807515580439,0.33860941821475643,0.5337104509653707
7,0.7,0.6,0.4758826958816476,0.49815980235659113,0.6788943318287814
7,0.7,0.8,0.48662499780511204,0.6461384781438337,0.8078660666001223
7,0.7,1.0,0.6154703415005406,0.8131351712772694,0.8740174667311685
7,0.9,0.4,0.649475935336848,0.4253810093312213,0.47018127512394764
7,0.9,0.6,0.6557655991525282,0.5658290099126477,0.6484520283834027
7,0.9,0.8,0.7125449788989696,0.7177555653997255,0.7759671860327109
7,0.9,1.0,0.7670673801665373,0.8599124883578528,0.8960633950429545
8,0.1,0.4,0.0193747179308322,0.07736470676552533,0.9211205311825226
8,0.1,0.6,0.04252462873378665,0.1491196206260993,0.8211369606234621
8,0.1,0.8,0.0674896125349676,0.24366606689414932,0.8300702347425003
8,0.1,1.0,0.07704383097162194,0.38034074321946676,0.9914657014729666
8,0.3,0.4,0.06696373925543407,0.14701928946553688,0.6700405820959235
8,0.3,0.6,0.1152891339023367,0.25632991303165265,0.7904711545660742
8,0.3,0.8,0.1619429234420422,0.4023981727131063,0.7764043206876089
8,0.3,1.0,0.2894507284763663,0.5612806588865424,0.8798600559814257
8,0.5,0.4,0.18256540198565666,0.24029197148107984,0.6212467400827941
8,0.5,0.6,0.20229388412250698,0.374645251774057,0.7471026617155204
8,0.5,0.8,0.31699095837756575,0.5454531297994251,0.7701723022578815
8,0.5,1.0,0.46285878239734707,0.7132071554749326,0.9153746927716157
8,0.7,0.4,0.37437497903588096,0.3487112792939136,0.4902011727529445
8,0.7,0.6,0.45429070591774706,0.4890373844983541,0.675939312538542
8,0.7,0.8,0.5522633349931284,0.6472106892501862,0.7261515109950469
8,0.7,1.0,0.6123454179602286,0.8103062269689514,0.8363290874521111
8,0.9,0.4,0.6081593090105262,0.42368303822844,0.42663140665682864
8,0.9,0.6,0.6871917257322132,0.5675915015328364,0.5569117598771443
